Vendedor,SKU,Sexo,Tags,Vendedor,Nombre,Marca,Talla,Categoría,Subcategoría,Estilo,Estilo 2 (opcional),Color,Color (opcional),Precio Influ,Inventory,# Fotos,Precio Final,Fecha,Descripción
#1088,3.1088.01,Man,"Man, Otras marcas, One size, Abrigos | Chaquetas, Plumíferos | Acolchados, Streetwear, Comfy, Rojo, Azul",Pablo Gil,Chaqueta acolchada reversible rojo y azul,Otras marcas,One size,Abrigos | Chaquetas,Plumíferos | Acolchados,Streetwear,Comfy,Rojo,Azul,"15,35",fulfio-fulfillment,3,"19,99",,
#1088,3.1088.02,Man,"Man, Scalpers, L, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Comfy, Azul marino",Pablo Gil,Chaqueta azul impermeable Scalpers,Scalpers,L,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,Comfy,Azul marino,,"26,86",fulfio-fulfillment,3,"34,99",,
#1088,3.1088.03,Man,"Man, Timberland, XL, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Comfy, Verde",Pablo Gil,Chaqueta bomber verde waterproof Timberland,Timberland,XL,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,Comfy,Verde,,"26,86",fulfio-fulfillment,3,"34,99",,
#1088,3.1088.04,Man,"Man, Lefties, M, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Casual, Beige",Pablo Gil,Sobrecamisa denim beige,Lefties,M,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,Casual,Beige,,"6,13",fulfio-fulfillment,3,"7,99",,
#1088,3.1088.05,Man,"Man, Pull&Bear, L, Abrigos | Chaquetas, Chaquetas | Cazadoras, Streetwear, Casual, Blanco",Pablo Gil,Sobrecamisa denim blanco,Pull&Bear,L,Abrigos | Chaquetas,Chaquetas | Cazadoras,Streetwear,Casual,Blanco,,"6,13",fulfio-fulfillment,3,"7,99",,Marcas de uso
#1088,3.1088.06,Man,"Man, Grizzly, XXL, Sudaderas, con capucha, Streetwear, Comfy, Gris",Pablo Gil,Sudadera gris,Grizzly,XXL,Sudaderas,con capucha,Streetwear,Comfy,Gris,,"15,35",fulfio-fulfillment,3,"19,99",,
#1088,3.1088.07,Man,"Man, Lefties, L, Sudaderas, con capucha, Streetwear, Comfy, Blanco",Pablo Gil,Sudadera blanca,Lefties,L,Sudaderas,con capucha,Streetwear,Comfy,Blanco,,"6,13",fulfio-fulfillment,3,"7,99",,Marcas de uso
#1088,3.1088.08,Man,"Man, Eme Original, One size, Sudaderas, con capucha, Streetwear, Comfy, Azul",Pablo Gil,Sudadera azul EME,Eme Original,One size,Sudaderas,con capucha,Streetwear,Comfy,Azul,,"23,02",fulfio-fulfillment,3,"29,99",,Marcas de uso
#1088,3.1088.09,Man,"Man, Vans, L, Sudaderas, con capucha, Streetwear, Comfy, Verde",Pablo Gil,Sudaderas verde VANS,Vans,L,Sudaderas,con capucha,Streetwear,Comfy,Verde,,"23,02",fulfio-fulfillment,3,"29,99",,
#1088,3.1088.10,Man,"Man, Vaul, L, Sudaderas, con capucha, Streetwear, Comfy, Gris",Pablo Gil,Sudadera gris con capucha,Vaul,L,Sudaderas,con capucha,Streetwear,Comfy,Gris,,"19,19",fulfio-fulfillment,3,"24,99",,
#1088,3.1088.11,Man,"Man, Lefties, XL, Jerséis | Cárdigans, Casual, Comfy, Granate",Pablo Gil,Jersey naranja de punto,Lefties,XL,Jerséis | Cárdigans,,Casual,Comfy,Granate,,"7,67",fulfio-fulfillment,3,"9,99",,
#1088,3.1088.12,Man,"Man, only & sons, One size, Sudaderas, sin capucha, Streetwear, Comfy, Blanco",Pablo Gil,Sudadera blanca estampado,only & sons,One size,Sudaderas,sin capucha,Streetwear,Comfy,Blanco,,"23,02",fulfio-fulfillment,3,"29,99",,
